PID,A_PRICE,A_LINK,F_PRICE,F_LINK,S_PRICE,S_LINK
1,56990,http://www.amazon.in/Samsung-S7-Edge-SM-G935F-Platinum/dp/B01DBK3EPI/ref=sr_1_3?ie=UTF8&qid=1468053024&sr=8-3&keywords=samsung+galaxy+s7+edge,56900,http://www.flipkart.com/samsung-galaxy-s7-edge/p/itmehgj9ffpgr5sz?pid=MOBEGFZPCHJHAZVU&al=mWSlPQd1N%2FNs%2BuLy2HG0MsldugMWZuE7Qdj0IGOOVqvEnfFCh%2F3rUJ3XuREtmzvVG9I%2FXHArl%2B4%3D&ref=L%3A-1462336406171728965&srno=p_1&otracker=from-search,51000,http://www.snapdeal.com/product/samsung-galaxy-s7-32gb-4g/671145658672
2,69849,http://www.amazon.in/Apple-iPhone-6s-Plus-Gold/dp/B016QBUUO2/ref=sr_1_3?ie=UTF8&qid=1468063582&sr=8-3&keywords=iphone6s+plus,69999,http://www.flipkart.com/apple-iphone-6s-plus/p/itmeby3w25gach3y?pid=MOBEBY3WTUTRHBUE&al=2DVn7sCKmSNAK3h2Lq0QS8ldugMWZuE7Qdj0IGOOVqvYqI62KsjFj4x%2F7pFv5koi69v5eD5x6xc%3D&ref=L%3A245837145463803134&srno=p_1&otracker=from-search,71695,http://www.snapdeal.com/product/iphone-6s-plus-64gb/643312949011
3,48990,http://www.amazon.in/HTC-2PS6200-10-GOLD-32GB/dp/B01H8WLLT6/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468068201&sr=1-1&keywords=htc+10+mobile,2000000,,2000000,
4,46499,http://www.amazon.in/Sony-Xperia-Dual-Graphite-Black/dp/B01GQ1U4HU/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468066027&sr=1-1&keywords=sony+xperia+x+dual,46990,http://www.flipkart.com/sony-xperia-x-dual-sim/p/itmejb94eekgpbfy?pid=MOBEJB94ZZ8YNGNH&al=2DVn7sCKmSNX3vK%2FUmp6qsldugMWZuE7Qdj0IGOOVqt2xvvSMQcCBlzeqBXPPoerCtiUijWOW4c%3D&ref=L%3A-6248295349402449885&srno=p_1&otracker=from-search,46990,http://www.snapdeal.com/product/sony-xperia-x-dual-64gb/662326923579
5,34289,http://www.amazon.in/Moto-X-Force-Black-32GB/dp/B01A8DQSW2/ref=sr_1_sc_2?s=electronics&ie=UTF8&qid=1468066525&sr=1-2-spell&keywords=MOT+OX+FOCE,34999,http://www.flipkart.com/moto-x-force/p/itmefqpkv3sdntgc?pid=MOBEEFXFG5NHFY5W&al=2DVn7sCKmSNNSa47zhNxKsldugMWZuE7Qdj0IGOOVqsW8Fy%2F%2BuiO1Gw%2BLMRe1lOCddqyMCoVZ9I%3D&ref=L%3A-1207980232613739330&srno=p_1&otracker=from-search,34999,http://www.snapdeal.com/product/motorola-moto-x-force-32gb/677683041597
6,33900,http://www.amazon.in/Samsung-Galaxy-S6-Platinum-32GB/dp/B00XPQWNEC/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468067118&sr=1-1&keywords=samsung+galaxy+s6+32+gb,33900,http://www.flipkart.com/samsung-galaxy-s6/p/itme5z4aycxqmf93?pid=MOBE5Z49FVDCW5EU&al=2DVn7sCKmSOc21brUQc%2FasldugMWZuE7Qdj0IGOOVqtaUD2TAdNxFFmH99XJcH7uIFHbpD4G%2FwA%3D&ref=L%3A2269337217381060425&srno=p_1&otracker=from-search,53800,http://www.snapdeal.com/product/samsung-galaxy-s6-32-gb/631960675325
7,39099,http://www.amazon.in/Apple-iPhone-Space-Grey-16GB/dp/B00O4WTPOC/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468068689&sr=1-1&keywords=IPHONE+6,38499,http://www.flipkart.com/apple-iphone-6/p/itme8dvfeuxxbm4r?pid=MOBEYHZ2YAXZMF2J&al=2DVn7sCKmSONQ2qLnhLd1MldugMWZuE7Qdj0IGOOVqsijtH3SF130epoeQMbJLmt21QvgrUHmds%3D&ref=L%3A-4404968663553522762&srno=p_1&otracker=from-search,38994,http://www.snapdeal.com/product/apple-iphone-6-16-gb/1270529654
8,2000000,,51899,http://www.flipkart.com/htc-one-m9/p/itme74myquqma72z?pid=MOBE74MYWKXHKHPS&al=2DVn7sCKmSMrG0Ngo625VcldugMWZuE7Qdj0IGOOVqtGL92SEnc0WoNjckyju%2BancDWmJ5Jp1jI%3D&ref=L%3A-8125763753218652210&srno=p_1&otracker=from-search,44690,http://www.snapdeal.com/product/htc-one-m9-plus-32/620826784686
9,27999,http://www.amazon.in/OnePlus-3-Graphite-64GB/dp/B01DDP7UQ0/ref=sr_1_2?s=electronics&ie=UTF8&qid=1468069616&sr=1-2&keywords=one+plus+3,2000000,,2000000,
10,30000,http://www.amazon.in/Apple-iPhone-5s-Space-Grey/dp/B00FXLCJ28/ref=sr_1_3?s=electronics&ie=UTF8&qid=1468070229&sr=1-3&keywords=iphone+5s+32gb,27700,http://www.flipkart.com/apple-iphone-5s/p/itme8ms8gvttwhev?pid=MOBDPPZZXGKPFZN3&al=Vr6tQ4MHw%2BTD%2FqHvzaomFcldugMWZuE7Qdj0IGOOVqvatIS1NK0SQzJFadcM9JZfW5PB5c98hOQ%3D&ref=L%3A-3347097084159636069&srno=p_4&otracker=from-search,29999,http://www.snapdeal.com/product/apple-iphone-5s-32-gb/2063255917
11,26900,http://www.amazon.in/Samsung-Galaxy-2016-Dual-SM-A710FZDFINS/dp/B01CMBQCAQ/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468070547&sr=1-1&keywords=samsung+galaxy+a7+2016,26900,http://www.flipkart.com/samsung-galaxy-a7-2016/p/itmefzrgapjrunna?pid=MOBEFZRGZUGFCGQD&al=Vr6tQ4MHw%2BRX6NoB0%2FqjP8ldugMWZuE7Qdj0IGOOVqudUty8psnWcVXNyF990FxGYH1J44w%2FXXQ%3D&ref=L%3A-2527452065784773105&srno=p_1&otracker=from-search,26900,http://www.snapdeal.com/product/samsung-a7-2016-16gb-4g/632787468738
12,28000,http://www.amazon.in/HTC-One-M8-Grey/dp/B00K0L56ZS/ref=sr_1_2?s=electronics&ie=UTF8&qid=1468071105&sr=1-2&keywords=htc+one+m8,29800,http://www.flipkart.com/htc-one-m8/p/itme7zfzvsbxpg9a?pid=MOBDVZ8SAZ5FAY9V&al=Vr6tQ4MHw%2BQ%2BcY00T7bcV8ldugMWZuE7Qdj0IGOOVqsK8RvQ8Db%2FsvMfE0E0Ssb%2FCerzBFrODTw%3D&ref=L%3A8392180702886512282&srno=p_4&otracker=from-search,23299,http://www.snapdeal.com/product/htc-htc-one-m8-eye/620525859203
13,19999,http://www.amazon.in/Lenovo-Vibe-X3-White-32GB/dp/B01AY3H9QA/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468071523&sr=1-1&keywords=LENOVO+VIBE+X3+32+GB,2000000,,2000000,
14,22999,http://www.amazon.in/OnePlus-2-Sandstone-Black-64GB/dp/B011RG8SOU/ref=sr_1_2?s=electronics&ie=UTF8&qid=1468071825&sr=1-2&keywords=one+plus+2,2000000,,16999,http://www.snapdeal.com/product/unboxed-oneplus-two-64-gbsandstone/662790649697
15,19970,http://www.amazon.in/Sony-Xperia-XA-Graphite-Black/dp/B01H4U80R8/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468074562&sr=1-1&keywords=sony+xperia+xa+dual+mobile,19980,http://www.flipkart.com/sony-xperia-xa-dual/p/itmejvgcqtxezu6b?pid=MOBEJVGCGZ4PRAGT&al=Vr6tQ4MHw%2BRBhBTM4eQEQ8ldugMWZuE7Qdj0IGOOVqvDuWN6XBEfWsxHFlWQ6Wg4GK%2Bo7lqrEQA%3D&ref=L%3A4757093583209581032&srno=p_1&otracker=from-search,19986,http://www.snapdeal.com/product/sony-xperia-xa-dual-16gb/643970767593
16,19895,http://www.amazon.in/Asus-Zenfone-ZE551ML-Silver-32GB/dp/B015FAR6QU/ref=sr_1_4?s=electronics&ie=UTF8&qid=1468075359&sr=1-4&keywords=asus+zenfone+2+ze551ml,22999,http://www.flipkart.com/asus-zenfone-2-ze551ml/p/itme6pvuvfsxu5wb?pid=MOBE6PVUTMZSQNHE&al=Vr6tQ4MHw%2BRJY2lCTZhtccldugMWZuE7Qdj0IGOOVqucSeU44iGJ7DklfdTAKk%2F1yYRPsgOLfL8%3D&ref=L%3A4122276964305094037&srno=p_4&otracker=from-search,19999,http://www.snapdeal.com/product/asus-zenfone-2-ze551ml-32gb/619625349985
17,19405,http://www.amazon.in/Sony-Xperia-M4-Aqua-Dual/dp/B00XTX7C4C/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468075680&sr=1-1&keywords=SONY+XPERIA+M4+AQUA,20890,http://www.flipkart.com/sony-xperia-m4-aqua-dual/p/itme7zhzgdgjqrm3?pid=MOBE7RSEYSCEHGEV&al=Vr6tQ4MHw%2BRgFUYICnEOvcldugMWZuE7Qdj0IGOOVqvdFFBYrL11izmNOaIdS%2BybUx%2FiH%2FxicLQ%3D&ref=L%3A3824087549219457768&srno=p_1&otracker=from-search,19999,http://www.snapdeal.com/product/sony-xperia-m4-aqua-dual/618830211320
18,9620,http://www.amazon.in/Asus-Zenfone-Laser-ZE550KL-1A111IN-Black/dp/B0172YN9MM/ref=sr_1_sc_1?s=electronics&ie=UTF8&qid=1468075950&sr=1-1-spell&keywords=asus+zenfone+2+alser,8999,http://www.flipkart.com/asus-zenfone-2-laser-ze550kl/p/itme9j58gsd9dw5u?pid=MOBE9J58AKDZ9W43&al=Vr6tQ4MHw%2BRjveNyO8VaGcldugMWZuE7Qdj0IGOOVqv4673b5Z4eKIR4CJvLR3k8z6ZLoQ5UKTg%3D&ref=L%3A8605508454078302261&srno=p_1&otracker=from-search,11999,http://www.snapdeal.com/product/asus-zenfone-2-laser-55/681651791446
19,18579,http://www.amazon.in/LYF-Earth-1-White/dp/B01BHROALY/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468076351&sr=1-1&keywords=lyf+earth+1,19399,http://www.flipkart.com/lyf-earth-1/p/itmeg9bjzybk76mh?pid=MOBEG9BJVXCFBNZ7&al=Vr6tQ4MHw%2BTMa%2BLRqdiwWsldugMWZuE7Qdj0IGOOVqtmdwQzH8ffYPI5HjofbzQze0W0a5gvGaE%3D&ref=L%3A-5354291600890771474&srno=p_1&otracker=from-search,2000000,
20,14999,http://www.amazon.in/Moto-Plus-4th-Gen-Black/dp/B01DDP7GZK/ref=sr_1_4?s=electronics&ie=UTF8&qid=1468077121&sr=1-4&keywords=MOTO+G4+PLUS,2000000,,2000000,
21,6999,http://www.amazon.in/dp/B01DDP7UYC/ref=br_imp?pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=desktop-hero-kindle-B&pf_rd_r=1QVQKR51B11XFQZDZZX9&pf_rd_t=36701&pf_rd_p=1012596647&pf_rd_i=desktop,2000000,,2000000,
22,11299,http://www.amazon.in/Asus-Zenfone-Selfie-ZD551KL-Silver/dp/B016Y8VMPI/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468135111&sr=1-1&keywords=asus+zenfone+selfie,16999,http://www.flipkart.com/asus-zenfone-selfie/p/itme9j58zy2w42j9?pid=MOBE9J58AN7SJCHQ&al=OgmK4%2F%2FOkYddnem6IsooGsldugMWZuE7Qdj0IGOOVqv4673b5Z4eKIPzleakq3j8IihuSZ9865U%3D&ref=L%3A-6503533858124970996&srno=p_1&otracker=from-search,16988,http://www.snapdeal.com/product/asus-zenfone-selfie-zd551kl-32gb/658908871693
23,14200,http://www.amazon.in/LYF-Water-1--Black-1/dp/B01BHROAT6/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468135252&sr=1-1&keywords=LYF+Water+1,14599,http://www.flipkart.com/lyf-water-1/p/itmej299fepg4cr9?pid=MOBEJ295EBQPV3YH&al=OgmK4%2F%2FOkYfcsXiG2AZtx8ldugMWZuE7Qdj0IGOOVqt0KuyUhNFfyVj%2BeccSJrfr%2BhTBl6wXPM4%3D&ref=L%3A-5962391828117436889&srno=p_1&findingMethod=Search&otracker=start,14600,http://www.snapdeal.com/product/lyf-lyf-water1-16gb-white-/668026682270
24,5499,http://www.amazon.in/LYF-FLAME-BLACK-VOLTE-PHONE/dp/B01BNOKFEW/ref=sr_1_1?s=electronics&ie=UTF8&qid=1468135348&sr=1-1&keywords=LYF+Flame+1,4990,http://www.flipkart.com/lyf-flame-1/p/itmefw7f75c4cgrp?pid=MOBEFW7FSVYJW3NK&al=OgmK4%2F%2FOkYfZnd3RY5Bn%2FcldugMWZuE7Qdj0IGOOVqt21KkdbJLrNEUkSgTb%2B3Bci7SDiBDbfpA%3D&ref=L%3A804250875057360509&srno=p_1&otracker=from-search,5200,http://www.snapdeal.com/product/lyf-flame-1-8gb-black/659596745416
25,7499,http://www.amazon.in/MOTOROLA-MOTO-2ND-GEN-SINGLE/dp/B00TVACI5U/ref=sr_1_3?s=electronics&ie=UTF8&qid=1468135553&sr=1-3&keywords=Moto+e2,2000000,,2000000,
